id,title,description,category,tags,brand,price,image_url
20,Drift Professional Sunscreen SPF 50,Upgrade your routine with the Professional Sunscreen SPF 50 — Drift's answer to performance and style.,Beauty & Personal Care,"limited-edition,budget-friendly,premium-quality,bestseller",Drift,230.63,https://picsum.photos/seed/product20/400/400
21,Nova Eco-Friendly Gaming Mouse,"A best-selling electronics item, this Nova Gaming Mouse blends eco-friendly design with practical features.",Electronics,"fast-shipping,gift-idea",Nova,16.39,https://picsum.photos/seed/product21/400/400
22,Apex Portable Face Moisturizer,"The Portable Face Moisturizer from Apex is designed for everyday use, combining reliable performance with a sleek build.",Beauty & Personal Care,"new-arrival,premium-quality,gift-idea",Apex,257.83,https://picsum.photos/seed/product22/400/400
23,Crest Wireless Mystery Thriller,"A best-selling books item, this Crest Mystery Thriller blends wireless design with practical features.",Books,"budget-friendly,gift-idea,fast-shipping,top-rated",Crest,372.27,https://picsum.photos/seed/product23/400/400
24,Lumen Lightweight Smartwatch,"This Lumen Smartwatch offers lightweight functionality, perfect for electronics enthusiasts looking for quality.",Electronics,"top-rated,budget-friendly,bestseller",Lumen,609.28,https://picsum.photos/seed/product24/400/400
25,Nova Lightweight Electric Toothbrush,"This Nova Electric Toothbrush offers lightweight functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"gift-idea,fast-shipping",Nova,179.28,https://picsum.photos/seed/product25/400/400
26,Aurora Wireless Programming Handbook,"This Aurora Programming Handbook offers wireless functionality, perfect for books enthusiasts looking for quality.",Books,"gift-idea,new-arrival,budget-friendly",Aurora,729.13,https://picsum.photos/seed/product26/400/400
27,Nova Rechargeable Dumbbell Set,"A best-selling sports & outdoors item, this Nova Dumbbell Set blends rechargeable design with practical features.",Sports & Outdoors,"new-arrival,gift-idea",Nova,158.01,https://picsum.photos/seed/product27/400/400
28,Apex Lightweight Business Strategy Book,"The Lightweight Business Strategy Book from Apex is designed for everyday use, combining reliable performance with a sleek build.",Books,"top-rated,bestseller",Apex,886.91,https://picsum.photos/seed/product28/400/400
29,Vertex Lightweight Sneakers,"A best-selling fashion item, this Vertex Sneakers blends lightweight design with practical features.",Fashion,"budget-friendly,eco-friendly,gift-idea,premium-quality",Vertex,203.74,https://picsum.photos/seed/product29/400/400
30,Drift Smart Wireless Earbuds,"The Smart Wireless Earbuds from Drift is designed for everyday use, combining reliable performance with a sleek build.",Electronics,"limited-edition,bestseller,premium-quality,trending",Drift,434.33,https://picsum.photos/seed/product30/400/400
31,Nova Smart Camping Tent,"The Smart Camping Tent from Nova is designed for everyday use, combining reliable performance with a sleek build.",Sports & Outdoors,"new-arrival,fast-shipping",Nova,610.93,https://picsum.photos/seed/product31/400/400
32,Zenith Eco-Friendly Cutlery Set,"Experience eco-friendly comfort with the Zenith Cutlery Set, engineered for durability and modern living.",Home & Kitchen,"fast-shipping,bestseller,new-arrival,gift-idea",Zenith,595.05,https://picsum.photos/seed/product32/400/400
33,Pulse Professional Badminton Racket,"Experience professional comfort with the Pulse Badminton Racket, engineered for durability and modern living.",Sports & Outdoors,"limited-edition,gift-idea,trending,premium-quality",Pulse,126.47,https://picsum.photos/seed/product33/400/400
34,Fusion Ergonomic Beard Trimmer,"The Ergonomic Beard Trimmer from Fusion is designed for everyday use, combining reliable performance with a sleek build.",Beauty & Personal Care,"budget-friendly,new-arrival",Fusion,75.19,https://picsum.photos/seed/product34/400/400
35,Vertex Wireless Cutting Board,"This Vertex Cutting Board offers wireless functionality, perfect for home & kitchen enthusiasts looking for quality.",Home & Kitchen,"gift-idea,limited-edition",Vertex,263.63,https://picsum.photos/seed/product35/400/400
36,Drift Professional Poetry Collection,"A best-selling books item, this Drift Poetry Collection blends professional design with practical features.",Books,"premium-quality,bestseller,trending,limited-edition",Drift,102.18,https://picsum.photos/seed/product36/400/400
37,Zenith Portable Vacuum Cleaner,"A best-selling home & kitchen item, this Zenith Vacuum Cleaner blends portable design with practical features.",Home & Kitchen,"trending,fast-shipping",Zenith,548.29,https://picsum.photos/seed/product37/400/400
38,Apex Rechargeable Shampoo,"This Apex Shampoo offers rechargeable functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"budget-friendly,trending,bestseller,fast-shipping",Apex,574.5,https://picsum.photos/seed/product38/400/400
39,Nova Ergonomic Running Shoes,"Experience ergonomic comfort with the Nova Running Shoes, engineered for durability and modern living.",Fashion,"trending,eco-friendly,budget-friendly,fast-shipping",Nova,638.03,https://picsum.photos/seed/product39/400/400
40,Zenith Portable Yoga Mat,"Experience portable comfort with the Zenith Yoga Mat, engineered for durability and modern living.",Sports & Outdoors,"bestseller,limited-edition,eco-friendly,gift-idea",Zenith,123.42,https://picsum.photos/seed/product40/400/400
41,Sable Premium Backpack,"This Sable Backpack offers premium functionality, perfect for fashion enthusiasts looking for quality.",Fashion,"gift-idea,new-arrival",Sable,324.76,https://picsum.photos/seed/product41/400/400
42,Halo High-Performance Hiking Backpack,"Experience high-performance comfort with the Halo Hiking Backpack, engineered for durability and modern living.",Sports & Outdoors,"eco-friendly,fast-shipping",Halo,794.45,https://picsum.photos/seed/product42/400/400
43,Drift Ergonomic Bluetooth Speaker,Upgrade your routine with the Ergonomic Bluetooth Speaker — Drift's answer to performance and style.,Electronics,"gift-idea,trending,eco-friendly,top-rated",Drift,634.13,https://picsum.photos/seed/product43/400/400
44,Quartz Durable Science Fiction Novel,"Experience durable comfort with the Quartz Science Fiction Novel, engineered for durability and modern living.",Books,"budget-friendly,limited-edition",Quartz,281.61,https://picsum.photos/seed/product44/400/400
45,Nova Rechargeable Non-Stick Pan Set,"Experience rechargeable comfort with the Nova Non-Stick Pan Set, engineered for durability and modern living.",Home & Kitchen,"limited-edition,trending,new-arrival",Nova,870.52,https://picsum.photos/seed/product45/400/400
46,Lumen Smart Backpack,Upgrade your routine with the Smart Backpack — Lumen's answer to performance and style.,Fashion,"premium-quality,limited-edition,bestseller,budget-friendly",Lumen,790.55,https://picsum.photos/seed/product46/400/400
47,Halo Professional Cotton T-Shirt,"The Professional Cotton T-Shirt from Halo is designed for everyday use, combining reliable performance with a sleek build.",Fashion,"fast-shipping,top-rated",Halo,317.65,https://picsum.photos/seed/product47/400/400
48,Halo Smart Formal Shirt,"The Smart Formal Shirt from Halo is designed for everyday use, combining reliable performance with a sleek build.",Fashion,"fast-shipping,gift-idea,trending",Halo,49.49,https://picsum.photos/seed/product48/400/400
49,Crest Smart Science Fiction Novel,"Experience smart comfort with the Crest Science Fiction Novel, engineered for durability and modern living.",Books,"top-rated,new-arrival,limited-edition",Crest,564.6,https://picsum.photos/seed/product49/400/400
50,Drift Professional Electric Toothbrush,"A best-selling beauty & personal care item, this Drift Electric Toothbrush blends professional design with practical features.",Beauty & Personal Care,"top-rated,limited-edition,fast-shipping",Drift,630.51,https://picsum.photos/seed/product50/400/400
51,Apex Lightweight Camping Tent,Upgrade your routine with the Lightweight Camping Tent — Apex's answer to performance and style.,Sports & Outdoors,"eco-friendly,trending,top-rated,premium-quality",Apex,752.01,https://picsum.photos/seed/product51/400/400
52,Apex Lightweight Sunglasses,"A best-selling fashion item, this Apex Sunglasses blends lightweight design with practical features.",Fashion,"limited-edition,budget-friendly,premium-quality,gift-idea",Apex,611.3,https://picsum.photos/seed/product52/400/400
53,Ember High-Performance Football,"Experience high-performance comfort with the Ember Football, engineered for durability and modern living.",Sports & Outdoors,"new-arrival,trending,limited-edition,bestseller",Ember,738.39,https://picsum.photos/seed/product53/400/400
54,Apex Compact Vacuum Cleaner,"Experience compact comfort with the Apex Vacuum Cleaner, engineered for durability and modern living.",Home & Kitchen,"bestseller,gift-idea",Apex,885.69,https://picsum.photos/seed/product54/400/400
55,Fusion Lightweight Dumbbell Set,"A best-selling sports & outdoors item, this Fusion Dumbbell Set blends lightweight design with practical features.",Sports & Outdoors,"top-rated,budget-friendly",Fusion,365.68,https://picsum.photos/seed/product55/400/400
56,Sable Portable Air Fryer,Upgrade your routine with the Portable Air Fryer — Sable's answer to performance and style.,Home & Kitchen,"eco-friendly,premium-quality",Sable,423.44,https://picsum.photos/seed/product56/400/400
57,Sable Portable Cycling Helmet,Upgrade your routine with the Portable Cycling Helmet — Sable's answer to performance and style.,Sports & Outdoors,"budget-friendly,premium-quality",Sable,889.21,https://picsum.photos/seed/product57/400/400
58,Ember Durable Resistance Bands,"A best-selling sports & outdoors item, this Ember Resistance Bands blends durable design with practical features.",Sports & Outdoors,"premium-quality,top-rated,budget-friendly,new-arrival",Ember,671.84,https://picsum.photos/seed/product58/400/400
59,Vertex Compact Business Strategy Book,"This Vertex Business Strategy Book offers compact functionality, perfect for books enthusiasts looking for quality.",Books,"budget-friendly,gift-idea,trending,premium-quality",Vertex,78.95,https://picsum.photos/seed/product59/400/400
60,Vertex Ergonomic Leather Wallet,"This Vertex Leather Wallet offers ergonomic functionality, perfect for fashion enthusiasts looking for quality.",Fashion,"new-arrival,eco-friendly,premium-quality,fast-shipping",Vertex,350.89,https://picsum.photos/seed/product60/400/400
61,Zenith Lightweight Non-Stick Pan Set,Upgrade your routine with the Lightweight Non-Stick Pan Set — Zenith's answer to performance and style.,Home & Kitchen,"premium-quality,budget-friendly,top-rated",Zenith,65.41,https://picsum.photos/seed/product61/400/400
62,Sable Eco-Friendly History Book,"The Eco-Friendly History Book from Sable is designed for everyday use, combining reliable performance with a sleek build.",Books,"top-rated,budget-friendly,bestseller,eco-friendly",Sable,275.76,https://picsum.photos/seed/product62/400/400
63,Crest High-Performance History Book,"A best-selling books item, this Crest History Book blends high-performance design with practical features.",Books,"gift-idea,budget-friendly,fast-shipping,eco-friendly",Crest,397.88,https://picsum.photos/seed/product63/400/400
64,Pulse Rechargeable Mechanical Keyboard,Upgrade your routine with the Rechargeable Mechanical Keyboard — Pulse's answer to performance and style.,Electronics,"eco-friendly,budget-friendly,fast-shipping,trending",Pulse,485.36,https://picsum.photos/seed/product64/400/400
65,Halo Rechargeable Fantasy Novel,"The Rechargeable Fantasy Novel from Halo is designed for everyday use, combining reliable performance with a sleek build.",Books,"top-rated,eco-friendly",Halo,781.49,https://picsum.photos/seed/product65/400/400
66,Vertex Lightweight Air Fryer,"This Vertex Air Fryer offers lightweight functionality, perfect for home & kitchen enthusiasts looking for quality.",Home & Kitchen,"budget-friendly,limited-edition",Vertex,310.37,https://picsum.photos/seed/product66/400/400
67,Ember Lightweight Biography,"This Ember Biography offers lightweight functionality, perfect for books enthusiasts looking for quality.",Books,"budget-friendly,bestseller",Ember,676.62,https://picsum.photos/seed/product67/400/400
68,Apex Rechargeable Gaming Mouse,"The Rechargeable Gaming Mouse from Apex is designed for everyday use, combining reliable performance with a sleek build.",Electronics,"bestseller,fast-shipping,gift-idea,new-arrival",Apex,756.9,https://picsum.photos/seed/product68/400/400
69,Apex Wireless Camping Tent,Upgrade your routine with the Wireless Camping Tent — Apex's answer to performance and style.,Sports & Outdoors,"new-arrival,gift-idea,budget-friendly,limited-edition",Apex,238.05,https://picsum.photos/seed/product69/400/400
70,Halo Eco-Friendly Cotton T-Shirt,"The Eco-Friendly Cotton T-Shirt from Halo is designed for everyday use, combining reliable performance with a sleek build.",Fashion,"trending,new-arrival",Halo,525.02,https://picsum.photos/seed/product70/400/400
71,Lumen Lightweight Hoodie,Upgrade your routine with the Lightweight Hoodie — Lumen's answer to performance and style.,Fashion,"gift-idea,new-arrival,fast-shipping,bestseller",Lumen,630.49,https://picsum.photos/seed/product71/400/400
72,Ember Portable Hoodie,"A best-selling fashion item, this Ember Hoodie blends portable design with practical features.",Fashion,"limited-edition,premium-quality",Ember,391.25,https://picsum.photos/seed/product72/400/400
73,Crest Rechargeable Denim Jacket,"This Crest Denim Jacket offers rechargeable functionality, perfect for fashion enthusiasts looking for quality.",Fashion,"top-rated,budget-friendly",Crest,103.92,https://picsum.photos/seed/product73/400/400
74,Drift Wireless Sneakers,Upgrade your routine with the Wireless Sneakers — Drift's answer to performance and style.,Fashion,"premium-quality,trending",Drift,558.15,https://picsum.photos/seed/product74/400/400
75,Fusion Lightweight Football,"A best-selling sports & outdoors item, this Fusion Football blends lightweight design with practical features.",Sports & Outdoors,"limited-edition,gift-idea,new-arrival",Fusion,258.24,https://picsum.photos/seed/product75/400/400
76,Ember Durable Mystery Thriller,"A best-selling books item, this Ember Mystery Thriller blends durable design with practical features.",Books,"top-rated,limited-edition,bestseller,gift-idea",Ember,767.34,https://picsum.photos/seed/product76/400/400
77,Apex Ergonomic Storage Containers,"This Apex Storage Containers offers ergonomic functionality, perfect for home & kitchen enthusiasts looking for quality.",Home & Kitchen,"trending,fast-shipping,bestseller",Apex,469.79,https://picsum.photos/seed/product77/400/400
78,Apex High-Performance Coffee Maker,Upgrade your routine with the High-Performance Coffee Maker — Apex's answer to performance and style.,Home & Kitchen,"premium-quality,gift-idea,budget-friendly",Apex,584.84,https://picsum.photos/seed/product78/400/400
79,Ember Premium Business Strategy Book,"The Premium Business Strategy Book from Ember is designed for everyday use, combining reliable performance with a sleek build.",Books,"gift-idea,top-rated,fast-shipping",Ember,282.51,https://picsum.photos/seed/product79/400/400
80,Fusion Smart Resistance Bands,"A best-selling sports & outdoors item, this Fusion Resistance Bands blends smart design with practical features.",Sports & Outdoors,"top-rated,premium-quality,limited-edition",Fusion,323.1,https://picsum.photos/seed/product80/400/400
81,Vertex Professional Biography,"Experience professional comfort with the Vertex Biography, engineered for durability and modern living.",Books,"gift-idea,limited-edition",Vertex,116.39,https://picsum.photos/seed/product81/400/400
82,Apex Compact Camping Tent,Upgrade your routine with the Compact Camping Tent — Apex's answer to performance and style.,Sports & Outdoors,"fast-shipping,premium-quality,trending",Apex,882.64,https://picsum.photos/seed/product82/400/400
83,Apex Ergonomic Vacuum Cleaner,"Experience ergonomic comfort with the Apex Vacuum Cleaner, engineered for durability and modern living.",Home & Kitchen,"bestseller,premium-quality,eco-friendly",Apex,254.13,https://picsum.photos/seed/product83/400/400
84,Vertex High-Performance USB-C Hub,"Experience high-performance comfort with the Vertex USB-C Hub, engineered for durability and modern living.",Electronics,"budget-friendly,new-arrival,bestseller,trending",Vertex,263.05,https://picsum.photos/seed/product84/400/400
85,Pulse Wireless Business Strategy Book,"The Wireless Business Strategy Book from Pulse is designed for everyday use, combining reliable performance with a sleek build.",Books,"budget-friendly,new-arrival,premium-quality",Pulse,366.62,https://picsum.photos/seed/product85/400/400
86,Lumen Rechargeable Wireless Earbuds,"The Rechargeable Wireless Earbuds from Lumen is designed for everyday use, combining reliable performance with a sleek build.",Electronics,"eco-friendly,trending",Lumen,85.8,https://picsum.photos/seed/product86/400/400
87,Crest Lightweight Coffee Maker,"A best-selling home & kitchen item, this Crest Coffee Maker blends lightweight design with practical features.",Home & Kitchen,"fast-shipping,gift-idea,top-rated,premium-quality",Crest,818.56,https://picsum.photos/seed/product87/400/400
88,Aurora Professional Hoodie,"A best-selling fashion item, this Aurora Hoodie blends professional design with practical features.",Fashion,"bestseller,new-arrival,gift-idea,limited-edition",Aurora,197.8,https://picsum.photos/seed/product88/400/400
89,Orbit Compact Electric Toothbrush,"Experience compact comfort with the Orbit Electric Toothbrush, engineered for durability and modern living.",Beauty & Personal Care,"new-arrival,eco-friendly,bestseller,gift-idea",Orbit,410.94,https://picsum.photos/seed/product89/400/400
90,Vertex Premium Football,"Experience premium comfort with the Vertex Football, engineered for durability and modern living.",Sports & Outdoors,"trending,budget-friendly,new-arrival",Vertex,621.76,https://picsum.photos/seed/product90/400/400
91,Lumen Compact Hoodie,Upgrade your routine with the Compact Hoodie — Lumen's answer to performance and style.,Fashion,"premium-quality,gift-idea",Lumen,586.38,https://picsum.photos/seed/product91/400/400
92,Zenith Premium Cotton T-Shirt,"Experience premium comfort with the Zenith Cotton T-Shirt, engineered for durability and modern living.",Fashion,"fast-shipping,trending,budget-friendly",Zenith,120.66,https://picsum.photos/seed/product92/400/400
93,Drift Lightweight Beard Trimmer,"This Drift Beard Trimmer offers lightweight functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"premium-quality,budget-friendly,fast-shipping,bestseller",Drift,542.24,https://picsum.photos/seed/product93/400/400
94,Halo Professional Cookbook,"The Professional Cookbook from Halo is designed for everyday use, combining reliable performance with a sleek build.",Books,"gift-idea,bestseller",Halo,899.61,https://picsum.photos/seed/product94/400/400
95,Halo Premium Beard Trimmer,"Experience premium comfort with the Halo Beard Trimmer, engineered for durability and modern living.",Beauty & Personal Care,"premium-quality,budget-friendly,trending",Halo,171.52,https://picsum.photos/seed/product95/400/400
96,Lumen Durable Hiking Backpack,"The Durable Hiking Backpack from Lumen is designed for everyday use, combining reliable performance with a sleek build.",Sports & Outdoors,"limited-edition,top-rated,fast-shipping",Lumen,295.73,https://picsum.photos/seed/product96/400/400
97,Pulse Lightweight Bluetooth Speaker,Upgrade your routine with the Lightweight Bluetooth Speaker — Pulse's answer to performance and style.,Electronics,"top-rated,premium-quality,bestseller",Pulse,414.79,https://picsum.photos/seed/product97/400/400
98,Pulse Portable Sunglasses,Upgrade your routine with the Portable Sunglasses — Pulse's answer to performance and style.,Fashion,"bestseller,premium-quality,budget-friendly,gift-idea",Pulse,58.23,https://picsum.photos/seed/product98/400/400
99,Halo Durable Resistance Bands,Upgrade your routine with the Durable Resistance Bands — Halo's answer to performance and style.,Sports & Outdoors,"gift-idea,trending",Halo,498.8,https://picsum.photos/seed/product99/400/400
100,Sable High-Performance Sneakers,Upgrade your routine with the High-Performance Sneakers — Sable's answer to performance and style.,Fashion,"bestseller,gift-idea",Sable,641.7,https://picsum.photos/seed/product100/400/400
101,Nova Smart Wrist Watch,Upgrade your routine with the Smart Wrist Watch — Nova's answer to performance and style.,Fashion,"gift-idea,new-arrival",Nova,420.68,https://picsum.photos/seed/product101/400/400
102,Fusion High-Performance Bluetooth Speaker,"This Fusion Bluetooth Speaker offers high-performance functionality, perfect for electronics enthusiasts looking for quality.",Electronics,"trending,top-rated,budget-friendly,gift-idea",Fusion,226.91,https://picsum.photos/seed/product102/400/400
103,Aurora Compact Camping Tent,"A best-selling sports & outdoors item, this Aurora Camping Tent blends compact design with practical features.",Sports & Outdoors,"eco-friendly,new-arrival,trending,top-rated",Aurora,713.1,https://picsum.photos/seed/product103/400/400
104,Sable Smart Cookbook,"This Sable Cookbook offers smart functionality, perfect for books enthusiasts looking for quality.",Books,"trending,fast-shipping",Sable,755.34,https://picsum.photos/seed/product104/400/400
105,Quartz Wireless Football,Upgrade your routine with the Wireless Football — Quartz's answer to performance and style.,Sports & Outdoors,"budget-friendly,limited-edition,premium-quality,trending",Quartz,688.95,https://picsum.photos/seed/product105/400/400
106,Sable Ergonomic Business Strategy Book,"Experience ergonomic comfort with the Sable Business Strategy Book, engineered for durability and modern living.",Books,"gift-idea,top-rated,fast-shipping,premium-quality",Sable,700.22,https://picsum.photos/seed/product106/400/400
107,Drift Durable Gaming Mouse,Upgrade your routine with the Durable Gaming Mouse — Drift's answer to performance and style.,Electronics,"eco-friendly,budget-friendly,bestseller",Drift,122.35,https://picsum.photos/seed/product107/400/400
108,Quartz Portable Resistance Bands,Upgrade your routine with the Portable Resistance Bands — Quartz's answer to performance and style.,Sports & Outdoors,"premium-quality,budget-friendly",Quartz,23.65,https://picsum.photos/seed/product108/400/400
109,Quartz Rechargeable Cutlery Set,"Experience rechargeable comfort with the Quartz Cutlery Set, engineered for durability and modern living.",Home & Kitchen,"budget-friendly,trending",Quartz,311.31,https://picsum.photos/seed/product109/400/400
110,Lumen Portable Perfume,"This Lumen Perfume offers portable functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"premium-quality,top-rated,limited-edition,budget-friendly",Lumen,649.65,https://picsum.photos/seed/product110/400/400
111,Nova Eco-Friendly Poetry Collection,"The Eco-Friendly Poetry Collection from Nova is designed for everyday use, combining reliable performance with a sleek build.",Books,"trending,gift-idea",Nova,674.61,https://picsum.photos/seed/product111/400/400
112,Ember Rechargeable Self-Help Guide,"The Rechargeable Self-Help Guide from Ember is designed for everyday use, combining reliable performance with a sleek build.",Books,"eco-friendly,trending,bestseller",Ember,50.92,https://picsum.photos/seed/product112/400/400
113,Pulse Ergonomic Webcam,Upgrade your routine with the Ergonomic Webcam — Pulse's answer to performance and style.,Electronics,"gift-idea,premium-quality",Pulse,376.72,https://picsum.photos/seed/product113/400/400
114,Orbit Wireless Hair Dryer,"The Wireless Hair Dryer from Orbit is designed for everyday use, combining reliable performance with a sleek build.",Beauty & Personal Care,"top-rated,gift-idea,budget-friendly,trending",Orbit,137.36,https://picsum.photos/seed/product114/400/400
115,Fusion Professional Biography,"The Professional Biography from Fusion is designed for everyday use, combining reliable performance with a sleek build.",Books,"trending,premium-quality,eco-friendly",Fusion,75.73,https://picsum.photos/seed/product115/400/400
116,Vertex Rechargeable Hoodie,Upgrade your routine with the Rechargeable Hoodie — Vertex's answer to performance and style.,Fashion,"trending,budget-friendly,fast-shipping,new-arrival",Vertex,899.43,https://picsum.photos/seed/product116/400/400
117,Apex Lightweight Self-Help Guide,"A best-selling books item, this Apex Self-Help Guide blends lightweight design with practical features.",Books,"fast-shipping,trending,premium-quality",Apex,29.52,https://picsum.photos/seed/product117/400/400
118,Vertex Premium Perfume,"A best-selling beauty & personal care item, this Vertex Perfume blends premium design with practical features.",Beauty & Personal Care,"bestseller,budget-friendly,trending,top-rated",Vertex,720.98,https://picsum.photos/seed/product118/400/400
119,Apex Rechargeable Resistance Bands,"Experience rechargeable comfort with the Apex Resistance Bands, engineered for durability and modern living.",Sports & Outdoors,"trending,eco-friendly,new-arrival,limited-edition",Apex,585.23,https://picsum.photos/seed/product119/400/400
120,Nova Eco-Friendly Sneakers,"This Nova Sneakers offers eco-friendly functionality, perfect for fashion enthusiasts looking for quality.",Fashion,"eco-friendly,new-arrival,trending,fast-shipping",Nova,675.25,https://picsum.photos/seed/product120/400/400
121,Orbit Smart Non-Stick Pan Set,"This Orbit Non-Stick Pan Set offers smart functionality, perfect for home & kitchen enthusiasts looking for quality.",Home & Kitchen,"premium-quality,trending,eco-friendly,budget-friendly",Orbit,823.49,https://picsum.photos/seed/product121/400/400
122,Drift Ergonomic Biography,"The Ergonomic Biography from Drift is designed for everyday use, combining reliable performance with a sleek build.",Books,"new-arrival,eco-friendly,gift-idea",Drift,775.52,https://picsum.photos/seed/product122/400/400
123,Quartz Smart Perfume,"This Quartz Perfume offers smart functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"top-rated,bestseller",Quartz,245.36,https://picsum.photos/seed/product123/400/400
124,Pulse Rechargeable Power Bank,"This Pulse Power Bank offers rechargeable functionality, perfect for electronics enthusiasts looking for quality.",Electronics,"top-rated,limited-edition,new-arrival,premium-quality",Pulse,218.09,https://picsum.photos/seed/product124/400/400
125,Sable Smart Wireless Earbuds,"This Sable Wireless Earbuds offers smart functionality, perfect for electronics enthusiasts looking for quality.",Electronics,"gift-idea,new-arrival,budget-friendly,limited-edition",Sable,278.94,https://picsum.photos/seed/product125/400/400
126,Orbit Premium Self-Help Guide,"The Premium Self-Help Guide from Orbit is designed for everyday use, combining reliable performance with a sleek build.",Books,"budget-friendly,new-arrival,premium-quality",Orbit,218.96,https://picsum.photos/seed/product126/400/400
127,Aurora Durable Camping Tent,"This Aurora Camping Tent offers durable functionality, perfect for sports & outdoors enthusiasts looking for quality.",Sports & Outdoors,"premium-quality,top-rated,eco-friendly,gift-idea",Aurora,592.87,https://picsum.photos/seed/product127/400/400
